date,close,volume,open,high,low,symbol
2023-08-04,63.52,33475980,67.68,70.3983,63.2,SQ
2023-08-03,73.55,13871070,73.36,73.88,71.51,SQ
2023-08-02,74.49,10439820,77.135,77.135,73.87,SQ
2023-08-01,78.76,6745084,79.88,79.9,77.78,SQ
2023-07-31,80.53,7815048,79.38,81.47,79.16,SQ
2023-07-28,78.36,6228303,78.315,78.98,77.35,SQ
2023-07-27,75.77,5911856,78.83,79.44,75.4,SQ
2023-07-26,77.41,4235244,76.16,77.845,75.76,SQ
2023-07-25,76.87,3362612,77.58,78.25,76.79,SQ
2023-07-24,77.14,5015956,75.86,77.26,74.36,SQ
2023-07-21,76.12,5260141,76.88,77.605,75.08,SQ
2023-07-20,76.17,7231342,77.225,77.95,75.66,SQ
2023-07-19,78.19,8320687,79.15,80.6,78.11,SQ
2023-07-18,79.03,6736793,78.065,79.21,77.57,SQ
2023-07-17,78.06,10001950,75.305,78.8,74.31,SQ
2023-07-14,75.46,9343857,76.315,77.11,74.84,SQ
2023-07-13,76.2,15648340,72.74,76.65,72.53,SQ
2023-07-12,71.22,7823919,72.83,73.0399,70.58,SQ
2023-07-11,71.1,10022650,69.75,72.12,69.06,SQ
2023-07-10,69.06,9165934,66.84,69.65,66.72,SQ
2023-07-07,67.27,11732920,64.2,68.42,64.1,SQ
2023-07-06,64.61,16455860,67.38,67.38,63.44,SQ
2023-07-05,68.97,12995780,65.73,69.4,65.14,SQ
2023-07-03,66.2,5669889,66.67,67.3,66.04,SQ
2023-06-30,66.57,8721401,65.1,66.8976,64.81,SQ
2023-06-29,64.39,6240855,64.875,65.77,63.74,SQ
2023-06-28,64.77,6638505,63.7,65.61,63.33,SQ
2023-06-27,63.93,5865424,62.33,64.56,62.045,SQ
2023-06-26,61.75,5506313,62.66,64.1493,61.65,SQ
2023-06-23,62.86,17221730,62.8,63.3399,61.855,SQ
2023-06-22,64.11,7225469,64.89,65.15,63.14,SQ
2023-06-21,65.46,8858980,66.71,67.28,64.81,SQ
2023-06-20,66.8,7460510,65.89,67.515,65.35,SQ
2023-06-16,66.51,12250810,66.51,67.7896,65.701,SQ
2023-06-15,66.19,9395452,63.65,66.86,63.56,SQ
2023-06-14,63.69,9173935,64.84,65.87,62.87,SQ
2023-06-13,65.52,10102890,65.38,66.4,64.87,SQ
